scenario,year,avg_knowledge,avg_computational,pisa_like,inequality_cv,tech_ready_share,economy_productivity,capital_attraction,innovation_capacity,education_investment,effective_spending,spending_loss,institutional_quality
Baseline_sem_computacao,0,0.19950948894183426,0.0,265.9607591153467,0.2540077659117275,0.0,1.0,1.0,0.5,1.0,0.364375,0.635625,0.4779166666666667
Baseline_sem_computacao,1,0.20790400708705412,0.001598837768390924,266.7202566442258,0.24587599375667724,0.0,1.0043592826168755,1.0107679186503897,0.5034095665419955,1.0028531469251576,0.3654146154108543,0.6374385315143033,0.4779166666666667
Baseline_sem_computacao,2,0.21642483575624444,0.002897163761669047,267.4733308673913,0.2404509375551638,0.0,1.0087424833591887,1.0215862469800572,0.5068219522050121,1.0057494162120428,0.3664699435322631,0.6392794726797797,0.4779166666666667
Baseline_sem_computacao,3,0.22480425525938197,0.003709705119281656,268.188374202311,0.23721821630133355,0.0,1.0131504298549787,1.0324559332053656,0.5102376912848176,1.0086892924434478,0.36754116093408135,0.6411481315093666,0.4779166666666667
Baseline_sem_computacao,4,0.23290034424562664,0.004412852356332612,268.87473441924845,0.23510761203403266,0.0,1.0175817695396787,1.0433758556509465,0.5136556363274837,1.0116732572046345,0.3686284430939387,0.6430448141106958,0.4779166666666667
Baseline_sem_computacao,5,0.24124423215285,0.00513407319464837,269.5819125979337,0.23349622367547773,0.0,1.02203975887673,1.0543492765235933,0.51707818235833,1.0147018151318583,0.3697319738886709,0.6449698412431875,0.4779166666666667
Baseline_sem_computacao,6,0.24981685514891377,0.005809320509654596,270.3048610399441,0.23316933933773332,0.0,1.0265214602417758,1.0653735734775385,0.5205029658276173,1.0177754589764176,0.37085193286453216,0.6469235261118855,0.4779166666666667
Baseline_sem_computacao,7,0.25805244190116083,0.006515028790980041,271.0025219355968,0.23384486827910697,0.0,1.031022415094374,1.076444660578376,0.5239265153678134,1.020894660287703,0.37198849184233174,0.6489061684453712,0.4779166666666667
Baseline_sem_computacao,8,0.266327625826991,0.007129182423035344,271.6983150994262,0.2347610895593043,0.0,1.035547460465734,1.0875672799025884,0.5273524310966666,1.0240599227742266,0.37314183436085885,0.6509180884133678,0.4779166666666667
Baseline_sem_computacao,9,0.27456215295247055,0.007539844756517283,272.3796636978061,0.23661345583104826,0.0,1.0401027229866202,1.0987474339061178,0.5307852182365298,1.0272717908353692,0.3743121587856377,0.6529596320497315,0.4779166666666667
Baseline_sem_computacao,10,0.2828209360407743,0.008042245056486073,273.06799836136867,0.23863169606149373,0.0,1.0446837472402057,1.109981087902716,0.5342213949113496,1.0305307881833659,0.3754996559443139,0.655031132239052,0.4779166666666667
Baseline_sem_computacao,11,0.29146141685733123,0.008401460185069268,273.77899365876533,0.24075740252457142,0.0,1.0492851765426159,1.121263319908681,0.5376568689081387,1.0338374116412892,0.37670450686679474,0.6571329047744945,0.4779166666666667
Baseline_sem_computacao,12,0.3000169369613373,0.00881938299405413,274.48642102158,0.24263679429302798,0.0,1.053911124242944,1.1325981871436201,0.5410946306943958,1.0371921869689293,0.3779269031268036,0.6592652838421258,0.4779166666666667
Baseline_sem_computacao,13,0.30807118908975,0.009284112781578206,275.1563213301668,0.24648866783326892,0.0,1.0585641263853482,1.1439882768451346,0.5445364586659399,1.0405956601733597,0.37916704367566795,0.6614286164976917,0.4779166666666667
